"subject","block_number","sound","list","block_time","block_time_s","block_time_m","block_start"
38,3,"Lyrical","C",170085.151000033,170.085151000033,2.83475251666722,52806
39,1,"Instrumental","C",179826.102999642,179.826102999642,2.9971017166607,57275
39,2,"Silence","C",161664.22399995,161.66422399995,2.69440373333251,57463
39,3,"Lyrical","C",157597.001999876,157.597001999876,2.62661669999793,57636
40,1,"Instrumental","C",211681.151999999,211.681151999999,3.52801919999998,63432
40,2,"Silence","C",177413.495000019,177.413495000019,2.95689158333364,63653
40,3,"Lyrical","C",170213.36700001,170.21336700001,2.83688945000016,63841
41,1,"Instrumental","C",185415.173999997,185.415173999997,3.09025289999995,35629
41,2,"Silence","C",192580.189999998,192.580189999998,3.20966983333331,35824
41,3,"Lyrical","C",164535.403,164.535403,2.74225671666666,36031
42,1,"Instrumental","C",213780.60199999,213.78060199999,3.56301003333316,40577
42,2,"Silence","C",193669.772000018,193.669772000018,3.22782953333363,40799
42,3,"Lyrical","C",174832.888999933,174.832888999933,2.91388148333222,41005
43,1,"Instrumental","C",210106.939,210.106939,3.50178231666666,41626
43,2,"Silence","C",198047.817,198.047817,3.30079694999999,41846
43,3,"Lyrical","C",180943.816,180.943816,3.01573026666666,42142
44,1,"Instrumental","C",255117.141999996,255.117141999996,4.2519523666666,52571
44,2,"Silence","C",210567.354999999,210.567354999999,3.50945591666665,52835
44,3,"Lyrical","C",203946.04799998,203.94604799998,3.39910079999966,53146
45,1,"Instrumental","C",232943.316000308,232.943316000308,3.88238860000513,78208
45,2,"Silence","C",197575.919999971,197.575919999971,3.29293199999952,78452
45,3,"Lyrical","C",200457.724000393,200.457724000393,3.34096206667322,78667
46,1,"Instrumental","C",229293.023999828,229.293023999828,3.82155039999713,78306
46,2,"Silence","C",214290.754999843,214.290754999843,3.57151258333072,78553
46,3,"Lyrical","C",191533.547999977,191.533547999977,3.19222579999962,78799
47,1,"Instrumental","C",269706,269.706,4.4951,44010
47,2,"Silence","C",266845,266.845,4.44741666666667,44293
47,3,"Lyrical","C",403390,403.39,6.72316666666667,44572
48,1,"Instrumental","C",193989.655000009,193.989655000009,3.23316091666682,45829
48,2,"Silence","C",181803.048999961,181.803048999961,3.03005081666602,46033
48,3,"Lyrical","C",182524.805000001,182.524805000001,3.04208008333336,46230
49,1,"Instrumental","C",226803.952,226.803952,3.78006586666666,46002
49,2,"Silence","C",220505.531,220.505531,3.67509218333333,46245
49,3,"Lyrical","C",211789.667,211.789667,3.52982778333333,46483
