sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_1_0_1_14,2021-03-25T02:30:43.368Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,320.3799999851326,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- feeling ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,77135.91499999166,77135.16499998514,76798.2,76808.16999997478,76814.785,77148.376,,14,feeling
screen,html.Screen,1_1_0_1_15,2021-03-25T02:30:43.872Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,490.67399999794725,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- close -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,77639.7949999664,77639.04999999795,77131.752,77136.15499995649,77148.376,77648.7,,15,close
screen,html.Screen,1_1_0_1_16,2021-03-25T02:30:43.904Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,21.909999971932848,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- to ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,77671.23999999603,77670.60999997193,77632.104,77640.01999999164,77648.7,77682.06,,16,to
screen,html.Screen,1_1_0_1_17,2021-03-25T02:30:43.935Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,19.469999962078873,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- your<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,77702.16499996604,77701.52999996208,77665.392,77671.47999996087,77682.06,77715.464,,17,your
screen,html.Screen,1_1_0_1_18,2021-03-25T02:30:43.982Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,33.55099995029741,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>romantic ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,77749.60999999894,77749.0149999503,77698.745,77702.38999999128,77715.464,77782.168,,18,romantic
screen,html.Screen,1_1_0_1_19,2021-03-25T02:30:44.013Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,14.398999971570447,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- partner -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,77780.6049999781,77779.85499997158,77765.456,77749.8299999861,,77798.848,,19,partner
screen,html.Screen,1_1_0_1_20,2021-03-25T02:30:44.043Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,11.111999984132126,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- is ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,77810.62000000384,77809.95999998413,77782.168,77780.8199999854,77798.848,77832.209,,20,is
screen,html.Screen,1_1_0_1_21,2021-03-25T02:30:44.074Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,9.011000002064975,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- paramount. --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,77841.88500000164,77841.22000000207,77815.495,77810.82999997307,77832.209,77865.558,,21,paramount.
screen,html.Screen,1_1_0_1_22,2021-03-25T02:30:44.106Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,7.046999982281704,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- But - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,77873.265000002,77872.60499998229,77848.851,77842.09999995073,77865.558,77898.919,,22,But
screen,html.Screen,1_1_0_1_23,2021-03-25T02:30:44.137Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,4.740999952657148,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- a --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,77904.33499997016,77903.65999995265,77882.205,77873.47999995109,77898.919,77932.276,,23,a
