"subject","list","music","song_number","music_set","snippet_file","Pool","familiarity","preference","pleasantness","offensiveness","distraction","actual_artist","actual_song_name","artist_name","song_name"
16,"C","lyrical","2","A","static/A2_lyrical.mp3","University pool",10,8,8,1,10,"Post Malone","WoW","Post Malone","Wow"
16,"C","lyrical","3","A","static/A3_lyrical.mp3","University pool",10,6,8,1,10,"Nicki Minaj (feat. Rihanna)","Fly","",""
16,"C","instrumental","1","B","static/B1_instrumental.mp3","University pool",10,8,8,1,10,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
16,"C","instrumental","2","B","static/B2_instrumental.mp3","University pool",10,8,9,1,10,"Iggy Azalea (ft. Charli XCX)","Fancy","","Fancy"
16,"C","instrumental","3","B","static/B3_instrumental.mp3","University pool",10,9,10,1,10,"Outkast","Ms. Jackson","Outkast","Ms. Jackson"
17,"C","lyrical","1","A","static/A1_lyrical.mp3","University pool",5,6,5,4,10,"Eminem","The way I am","Eminem",""
17,"C","lyrical","2","A","static/A2_lyrical.mp3","University pool",10,8,7,2,7,"Post Malone","WoW","Post Malone","WOW"
17,"C","lyrical","3","A","static/A3_lyrical.mp3","University pool",10,7,9,2,6,"Nicki Minaj (feat. Rihanna)","Fly","Nicki minaj ","fly"
17,"C","instrumental","1","B","static/B1_instrumental.mp3","University pool",10,8,10,1,8,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
17,"C","instrumental","2","B","static/B2_instrumental.mp3","University pool",10,8,8,2,7,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalia","Fancy"
17,"C","instrumental","3","B","static/B3_instrumental.mp3","University pool",10,8,8,2,7,"Outkast","Ms. Jackson","Outcast","Miss Jackson"
18,"C","lyrical","1","A","static/A1_lyrical.mp3","University pool",2,2,2,8,3,"Eminem","The way I am","",""
18,"C","lyrical","2","A","static/A2_lyrical.mp3","University pool",4,4,5,5,4,"Post Malone","WoW","",""
18,"C","lyrical","3","A","static/A3_lyrical.mp3","University pool",5,5,5,1,5,"Nicki Minaj (feat. Rihanna)","Fly","",""
18,"C","instrumental","1","B","static/B1_instrumental.mp3","University pool",10,10,10,1,10,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Pricetag"
18,"C","instrumental","2","B","static/B2_instrumental.mp3","University pool",6,5,5,5,5,"Iggy Azalea (ft. Charli XCX)","Fancy","",""
18,"C","instrumental","3","B","static/B3_instrumental.mp3","University pool",4,5,5,2,3,"Outkast","Ms. Jackson","",""
19,"C","lyrical","1","A","static/A1_lyrical.mp3","University pool",10,10,8,1,9,"Eminem","The way I am","Eminem","fly"
19,"C","lyrical","2","A","static/A2_lyrical.mp3","University pool",10,10,10,1,10,"Post Malone","WoW","Post Malone","Fancy"
19,"C","lyrical","3","A","static/A3_lyrical.mp3","University pool",4,7,10,1,5,"Nicki Minaj (feat. Rihanna)","Fly","Nicki minaj","fly"
19,"C","instrumental","1","B","static/B1_instrumental.mp3","University pool",10,10,10,1,3,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
19,"C","instrumental","2","B","static/B2_instrumental.mp3","University pool",10,10,10,1,8,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalia","Fancy"
19,"C","instrumental","3","B","static/B3_instrumental.mp3","University pool",10,10,10,1,7,"Outkast","Ms. Jackson","Outcast","Sorry Ms Jackson"
20,"C","lyrical","1","A","static/A1_lyrical.mp3","University pool",3,1,1,1,8,"Eminem","The way I am","Eminem",""
20,"C","lyrical","2","A","static/A2_lyrical.mp3","University pool",10,10,10,1,10,"Post Malone","WoW","",""
20,"C","lyrical","3","A","static/A3_lyrical.mp3","University pool",10,10,10,1,10,"Nicki Minaj (feat. Rihanna)","Fly","Rihanna",""
20,"C","instrumental","1","B","static/B1_instrumental.mp3","University pool",10,10,10,1,10,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
20,"C","instrumental","2","B","static/B2_instrumental.mp3","University pool",10,10,10,1,10,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalea/Charlie XCX","Fancy"
20,"C","instrumental","3","B","static/B3_instrumental.mp3","University pool",10,10,10,1,10,"Outkast","Ms. Jackson","","Ms. Jackson"
21,"D","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,7,6,1,8,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
21,"D","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,10,10,1,10,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azealea and Charlie XCX","Fancy"
21,"D","lyrical","3","B","static/B3_lyrical.mp3","University pool",10,10,10,1,10,"Outkast","Ms. Jackson","Outkast","Ms Jackson"
21,"D","instrumental","1","A","static/A1_instrumental.mp3","University pool",1,3,7,1,1,"Eminem","The way I am","",""
21,"D","instrumental","2","A","static/A2_instrumental.mp3","University pool",10,10,10,1,10,"Post Malone","WoW","Post malone","Wow"
21,"D","instrumental","3","A","static/A3_instrumental.mp3","University pool",10,10,10,1,10,"Nicki Minaj (feat. Rihanna)","Fly","Nicki Minaj and Rihanna","Fly"
22,"D","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,8,8,1,7,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
22,"D","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,8,7,3,8,"Iggy Azalea (ft. Charli XCX)","Fancy","",""
22,"D","lyrical","3","B","static/B3_lyrical.mp3","University pool",10,10,9,1,4,"Outkast","Ms. Jackson","Outkast","Ms. Jackson"
22,"D","instrumental","1","A","static/A1_instrumental.mp3","University pool",3,2,3,1,4,"Eminem","The way I am","",""
22,"D","instrumental","2","A","static/A2_instrumental.mp3","University pool",8,6,8,1,3,"Post Malone","WoW","Post Malone","Wow"
22,"D","instrumental","3","A","static/A3_instrumental.mp3","University pool",2,5,7,1,3,"Nicki Minaj (feat. Rihanna)","Fly","",""
23,"D","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,7,9,1,8,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
23,"D","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,5,6,1,8,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azealea and Charlie XCX","Fancy"
23,"D","lyrical","3","B","static/B3_lyrical.mp3","University pool",10,8,8,1,9,"Outkast","Ms. Jackson","Outkast","Ms Jackson"
23,"D","instrumental","1","A","static/A1_instrumental.mp3","University pool",3,5,7,1,3,"Eminem","The way I am","Eminem","N/A"
23,"D","instrumental","2","A","static/A2_instrumental.mp3","University pool",8,8,9,1,3,"Post Malone","WoW","Post malone","N/A"
23,"D","instrumental","3","A","static/A3_instrumental.mp3","University pool",8,7,7,1,4,"Nicki Minaj (feat. Rihanna)","Fly","Nicki Minaj and Rihanna","N/A"
24,"D","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,10,1,NA,1,"Jessie J (feat. B.o.B)","Price tag",NA,NA
24,"D","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,9,4,NA,9,"Iggy Azalea (ft. Charli XCX)","Fancy",NA,NA
24,"D","lyrical","3","B","static/B3_lyrical.mp3","University pool",10,10,10,1,2,"Outkast","Ms. Jackson",NA,NA
24,"D","instrumental","1","A","static/A1_instrumental.mp3","University pool",10,9,9,1,6,"Eminem","The way I am",NA,NA
24,"D","instrumental","2","A","static/A2_instrumental.mp3","University pool",9,10,10,1,2,"Post Malone","WoW",NA,NA
24,"D","instrumental","3","A","static/A3_instrumental.mp3","University pool",1,1,1,3,10,"Nicki Minaj (feat. Rihanna)","Fly",NA,NA
25,"D","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,8,9,3,7,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
25,"D","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,10,10,3,9,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalia","Fancy"
25,"D","lyrical","3","B","static/B3_lyrical.mp3","University pool",10,8,8,2,10,"Outkast","Ms. Jackson","","Miss Jackson"
25,"D","instrumental","1","A","static/A1_instrumental.mp3","University pool",8,9,6,7,5,"Eminem","The way I am","Eminem",""
25,"D","instrumental","2","A","static/A2_instrumental.mp3","University pool",10,10,9,2,8,"Post Malone","WoW","",""
25,"D","instrumental","3","A","static/A3_instrumental.mp3","University pool",1,2,5,1,5,"Nicki Minaj (feat. Rihanna)","Fly","",""
