subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song
17;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;9;5;5;1;5;Nicki Minaj (feat. Rihanna);little mix;0;Fly;;0
17;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;4;5;1;7;Jessie J (feat. B.o.B);jessie j;1;Price tag;price tag;1
17;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;7;7;2;8;Iggy Azalea (ft. Charli XCX);iggy azalea;1;Fancy;fancy;1
17;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;9;9;1;8;Outkast;outkast;1;Ms. Jackson;mrs jackson;1
18;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;5;3;2;2;9;Eminem;;0;The way I am;;0
18;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;5;5;5;4;5;Post Malone;;0;WoW;;0
18;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;9;6;10;1;6;Nicki Minaj (feat. Rihanna);FEATURTNG CARDI B;0;Fly;FLY;1
18;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;4;8;1;4;Jessie J (feat. B.o.B);JESSI J;1;Price tag;PRICE TAG;1
18;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;9;5;6;4;6;Iggy Azalea (ft. Charli XCX);IGGY;1;Fancy;FANCY;1
18;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;7;6;6;1;4;Outkast;;0;Ms. Jackson;;0
19;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;6;6;6;6;10;Eminem;Eminem;1;The way I am;;0
19;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;8;5;5;6;10;Post Malone;;0;WoW;;0
19;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;8;9;1;10;Nicki Minaj (feat. Rihanna);Rhianna;1;Fly;Fly;1
19;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;7;8;1;10;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1
19;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;9;9;3;10;Iggy Azalea (ft. Charli XCX);Iggy Azalea;1;Fancy;Fancy;1
19;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;2;5;8;1;4;Outkast;;0;Ms. Jackson;;0
20;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;7;8;8;3;5;Eminem;No;0;The way I am;No;0
20;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;10;10;3;5;Post Malone;No;0;WoW;No;0
20;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;10;10;1;2;Nicki Minaj (feat. Rihanna);No;0;Fly;No;0
20;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;8;8;1;3;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1
20;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;9;9;3;4;Iggy Azalea (ft. Charli XCX);Iggy Azela;1;Fancy;Problem;0
20;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;8;8;8;2;3;Outkast;No;0;Ms. Jackson;No;0
21;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;1;5;6;1;10;Eminem;eminem ;1;The way I am;;0
21;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;7;7;1;10;Post Malone;;0;WoW;wow;1
21;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;1;3;3;1;9;Nicki Minaj (feat. Rihanna);rihanna;1;Fly;;0
21;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;2;1;2;1;8;Jessie J (feat. B.o.B);;0;Price tag;;0
21;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;2;3;6;1;10;Iggy Azalea (ft. Charli XCX);;0;Fancy;;0
21;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;1;2;2;1;10;Outkast;;0;Ms. Jackson;;0
22;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;7;5;6;10;Eminem;Eminem;1;The way I am;N/A;0
22;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;8;7;1;7;Post Malone;Post malone;1;WoW;wow;1
22;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;10;10;1;4;Nicki Minaj (feat. Rihanna);Rhianna;1;Fly;fly;1
22;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;7;8;1;3;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price tag;1
22;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;8;8;1;4;Iggy Azalea (ft. Charli XCX);Iggy Azalea;1;Fancy;Fancy;1
22;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;2;3;Outkast;Outcast!;1;Ms. Jackson;Mrs Jackson;1
23;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;5;6;4;6;10;Eminem;Eminem;1;The way I am;NA;0
23;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;1;2;1;2;10;Post Malone;;0;WoW;NA;0
23;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;2;2;2;1;8;Nicki Minaj (feat. Rihanna);;0;Fly;NA;0
23;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;8;9;1;3;Jessie J (feat. B.o.B);;0;Price tag;NA;0
23;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;3;2;2;2;7;Iggy Azalea (ft. Charli XCX);;0;Fancy;NA;0
23;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;5;4;2;1;7;Outkast;;0;Ms. Jackson;NA;0
24;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;10;10;1;8;Eminem;eminem;1;The way I am;without me;0
24;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;10;10;1;5;Post Malone;post malone;1;WoW;wow;1
24;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;10;10;1;4;Nicki Minaj (feat. Rihanna);nicki minaj;1;Fly;fly;1
24;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;8;10;1;5;Jessie J (feat. B.o.B);jessie jay;1;Price tag;price tag;1
24;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;10;10;1;10;Iggy Azalea (ft. Charli XCX);iggy azalea;1;Fancy;fancy;1
24;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;NA;10;1;10;Outkast;outkast;1;Ms. Jackson;ms. jackson;1
25;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;1;3;3;1;NA;Eminem;Eminem;1;The way I am;;0
25;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;10;10;1;3;Post Malone;Post Malone;1;WoW;WOW;1
25;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;10;10;1;3;Nicki Minaj (feat. Rihanna);Rhianna and nicki manaj;1;Fly;Fly;1
25;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;NA;NA;NA;NA;NA;Jessie J (feat. B.o.B);;0;Price tag;;0
25;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;6;5;1;3;Iggy Azalea (ft. Charli XCX);Iggy ;1;Fancy;;0
25;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;1;3;Outkast;;0;Ms. Jackson;Mrs Jackson;1
26;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;6;8;9;1;9;Eminem;emimim;1;The way I am;;0
26;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;2;9;8;1;8;Post Malone;;0;WoW;;0
26;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;5;8;8;1;7;Nicki Minaj (feat. Rihanna);rihanna;1;Fly;;0
26;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;9;7;7;1;9;Jessie J (feat. B.o.B);Jessie j;1;Price tag;price tag;1
26;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;8;7;8;1;10;Iggy Azalea (ft. Charli XCX);Iggy alzela ft charlie xcx;1;Fancy;fancy;1
26;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;1;4;6;1;9;Outkast;;0;Ms. Jackson;;0
27;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;1;1;4;1;10;Eminem;;0;The way I am;NA;0
27;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;7;6;1;6;Post Malone;post malone;1;WoW;NA;0
27;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;8;10;1;1;Nicki Minaj (feat. Rihanna);rhianna;1;Fly;NA;0
27;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;1;1;4;1;1;Jessie J (feat. B.o.B);;0;Price tag;NA;0
27;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;3;3;1;7;Iggy Azalea (ft. Charli XCX);;0;Fancy;NA;0
27;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;8;8;1;4;Outkast;;0;Ms. Jackson;NA;0
28;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;3;1;1;3;9;Eminem;eminem ;1;The way I am;NA;0
28;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;9;9;2;6;Post Malone;;0;WoW;NA;0
28;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;10;10;1;2;Nicki Minaj (feat. Rihanna);;0;Fly;NA;0
28;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;4;3;1;2;Jessie J (feat. B.o.B);;0;Price tag;NA;0
28;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;10;10;2;4;Iggy Azalea (ft. Charli XCX);;0;Fancy;NA;0
28;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;6;6;2;4;Outkast;;0;Ms. Jackson;NA;0
29;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;7;6;2;7;Eminem;Eninem;1;The way I am;I am ;1
29;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;4;2;3;7;Post Malone;;0;WoW;wow;1
29;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;5;2;1;7;Nicki Minaj (feat. Rihanna);Rihanna and Nikki Minaj;1;Fly;To conquer;0
29;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;9;8;1;7;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price tag;1
29;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;4;2;1;7;Iggy Azalea (ft. Charli XCX);Charlie xcx and ;1;Fancy;Fancy;1
29;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;9;7;1;7;Outkast;Outkast;1;Ms. Jackson;Miss Jackson;1
30;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;3;8;8;1;5;Eminem;Eminem;1;The way I am;say i am;1
30;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;9;8;1;7;Post Malone;Post Malone;1;WoW;Wow;1
30;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;1;5;6;1;2;Nicki Minaj (feat. Rihanna);beyonce;0;Fly;;0
30;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;6;5;1;2;Jessie J (feat. B.o.B);jessie j;1;Price tag;price tag;1
30;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;5;5;1;3;Iggy Azalea (ft. Charli XCX);iggy izalea;1;Fancy;fancy;1
30;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;1;7;Outkast;Outcast Andre 3000 ;1;Ms. Jackson;Ms Jackson;1
31;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;6;7;7;1;8;Eminem;Eminem;1;The way I am;;0
31;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;2;1;1;1;4;Post Malone;;0;WoW;;0
31;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;2;2;2;1;3;Nicki Minaj (feat. Rihanna);;0;Fly;;0
31;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;3;6;1;3;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Pricetag;1
31;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;3;4;1;4;Iggy Azalea (ft. Charli XCX);;0;Fancy;Fancy;1
31;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;7;6;1;3;Outkast;;0;Ms. Jackson;;0
32;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;6;9;7;6;9;Eminem;;0;The way I am;;0
32;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;5;4;3;5;7;Post Malone;;0;WoW;;0
32;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;9;7;1;8;Nicki Minaj (feat. Rihanna);;0;Fly;;0
