subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song;;
15;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;9;7;7;1;7;Nicki Minaj (feat. Rihanna);;0;Fly;;0;;
15;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;9;9;1;6;Jessie J (feat. B.o.B);jessie J;1;Price tag;;0;;
15;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;7;7;7;1;6;Iggy Azalea (ft. Charli XCX);;0;Fancy;;0;;
15;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;9;9;9;1;5;Outkast;;0;Ms. Jackson;ms Jackson ;1;;
16;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;8;9;9;1;8;Eminem;Eminem;1;The way I am;;0;;
16;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;10;10;1;7;Post Malone;Post Malone;1;WoW;Wow;1;;
16;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;6;7;1;8;Nicki Minaj (feat. Rihanna);Niki Minaj  & Rihanna;1;Fly;Fly;1;;
16;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;8;8;1;9;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1;;
16;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;10;8;1;9;Iggy Azalea (ft. Charli XCX);Iggy ;1;Fancy;Fancy;1;;
16;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;8;8;1;7;Outkast;Outkast?;1;Ms. Jackson;Ms. Jackson;1;;
17;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;5;2;1;5;8;Eminem;Eminem;1;The way I am;;0;;
17;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;10;10;1;3;Post Malone;Post Malone;1;WoW;Wow;1;;
17;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;3;7;7;1;3;Nicki Minaj (feat. Rihanna);Rhianna;1;Fly;;0;;
17;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;3;3;1;6;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price tag;1;;
17;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;7;7;1;6;Iggy Azalea (ft. Charli XCX);Iggy Azela and Charlie XCX;1;Fancy;Fancy;1;;
17;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;8;7;7;1;3;Outkast;;0;Ms. Jackson;Miss Jackson;1;;
18;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;3;3;3;1;6;Eminem;eminem;1;The way I am;;0;;
18;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;9;7;7;1;7;Post Malone;post malone;1;WoW;wow;1;;
18;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;1;2;5;1;5;Nicki Minaj (feat. Rihanna);;0;Fly;;0;;
18;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;8;8;1;6;Jessie J (feat. B.o.B);jessie j;1;Price tag;price tag;1;;
18;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;7;6;1;7;Iggy Azalea (ft. Charli XCX);iggy azalea;1;Fancy;fancy;1;;
18;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;6;5;5;1;6;Outkast;;0;Ms. Jackson;;0;;
19;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;5;3;3;7;10;Eminem;Eminem;1;The way I am;;0;;
19;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;8;5;1;10;Post Malone;post malone ;1;WoW;wow;1;;
