sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_1_0_1_20,2021-03-25T15:17:19.685Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,440,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- is ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,139587,139581,139141,139130,139157,139626,,20,is
screen,html.Screen,1_1_0_1_21,2021-03-25T15:17:20.128Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,415,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- paramount. --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,140031,140025,139610,139587,139626,140061,,21,paramount.
screen,html.Screen,1_1_0_1_22,2021-03-25T15:17:20.783Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,634,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- But - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,140685,140680,140046,140031,140061,140715,,22,But
screen,html.Screen,1_1_0_1_23,2021-03-25T15:17:21.663Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,862,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- a --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,141565,141560,140698,140685,140715,141601,,23,a
screen,html.Screen,1_1_0_1_24,2021-03-25T15:17:22.142Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,454.0000000000291,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - new ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,142044,142039.00000000003,141585,141566,141601,142073,,24,new
screen,html.Screen,1_1_0_1_25,2021-03-25T15:17:22.947Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,788,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- study ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,142849,142843,142055,142045.00000000003,142073,142892,,25,study
screen,html.Screen,1_1_0_1_26,2021-03-25T15:17:23.382Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,404,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- finds ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,143284,143279,142875,142849,142892,143311,,26,finds
screen,html.Screen,1_1_0_1_27,2021-03-25T15:17:23.737Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,339,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- that<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,143639,143634,143295,143284,143311,143664,,27,that
screen,html.Screen,1_1_0_1_28,2021-03-25T15:17:24.068Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,317,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>it's --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,143970,143964,143647,143639,143664,144001,,28,it's
screen,html.Screen,1_1_0_1_29,2021-03-25T15:17:24.393Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,305.0000000000291,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- not --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,144295.00000000003,144289.00000000003,143984,143970,144001,144320,,29,not
screen,html.Screen,1_1_0_1_30,2021-03-25T15:17:24.713Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,307,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- how ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,144615,144610,144303,144295.00000000003,144320,144639,,30,how
screen,html.Screen,1_1_0_1_31,2021-03-25T15:17:25.002Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,277,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- close --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,144904,144899,144622,144615,144639,144925,,31,close
screen,html.Screen,1_1_0_1_32,2021-03-25T15:17:25.332Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,320,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- you ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,145234,145228,144908,144905,144925,145261,,32,you
