sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_1_0_1_15,2021-03-25T17:07:57.176Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,779.6160000106029,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- close -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,198520.88999992702,198519.52500001062,197723.414,197735.58500001673,197739.909,198523.108,,15,close
screen,html.Screen,1_1_0_1_16,2021-03-25T17:07:57.705Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,525.2670000130311,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- to ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,199049.15999993682,199048.37500001304,198506.606,198521.20999991894,198523.108,199056.28,,16,to
screen,html.Screen,1_1_0_1_17,2021-03-25T17:07:58.255Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,542.004999956378,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- your<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,199599.51999993064,199598.28499995638,199039.771,199049.35500002466,199056.28,199606.255,,17,your
screen,html.Screen,1_1_0_1_18,2021-03-25T17:07:58.941Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,677.5249999397201,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>romantic ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,200285.0600000238,200283.77999993972,199589.66,199599.87499995623,199606.255,200289.451,,18,romantic
screen,html.Screen,1_1_0_1_19,2021-03-25T17:07:59.456Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,509.9239999441197,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- partner -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,200800.92499998864,200799.37499994412,200272.883,200285.41499993298,200289.451,200806.012,,19,partner
screen,html.Screen,1_1_0_1_20,2021-03-25T17:07:59.797Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,334.4279999883147,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- is ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,201141.22999995016,201140.4399999883,200789.463,200801.64499999955,200806.012,201155.88,,20,is
screen,html.Screen,1_1_0_1_21,2021-03-25T17:08:01.710Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1897.6099999620346,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- paramount. --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,203054.73500001244,203053.48999996204,201139.259,201141.39999996405,201155.88,203072.226,,21,paramount.
screen,html.Screen,1_1_0_1_22,2021-03-25T17:08:02.446Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,717.2739999553014,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- But - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,203790.79999995884,203789.4999999553,203055.661,203055.0799999619,203072.226,203805.407,,22,But
screen,html.Screen,1_1_0_1_23,2021-03-25T17:08:02.840Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,378.1529999176273,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- a --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,204184.81499992777,204183.55999991763,203788.871,203791.28499992657,203805.407,204188.689,,23,a
screen,html.Screen,1_1_0_1_24,2021-03-25T17:08:03.258Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,412.5259999150876,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - new ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,204602.4749999633,204601.2149999151,204172.194,204185.14499999583,204188.689,204605.266,,24,new
screen,html.Screen,1_1_0_1_25,2021-03-25T17:08:03.609Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,347.2340000139666,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- study ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,204953.7550000241,204952.50000001397,204588.686,204602.80499991495,204605.266,204986.436,,25,study
screen,html.Screen,1_1_0_1_26,2021-03-25T17:08:04.031Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,387.9990000051912,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- finds ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,205375.66499994136,205374.43500000518,204938.71,204954.07999993768,204986.436,205388.589,,26,finds
