sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_1_0_1_11,2021-03-29T12:48:08.242Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,708.4759998403315,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ wisdom ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,157330.6599999778,157328.68499984033,156603.655,156604.70999986865,156620.209,157336.635,,11,wisdom
screen,html.Screen,1_1_0_1_12,2021-03-29T12:48:08.966Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,716.8549998456147,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ says ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,158055.50500005484,158053.48999984562,157320.156,157331.1349998694,157336.635,158070.012,,12,says
screen,html.Screen,1_1_0_1_13,2021-03-29T12:48:09.552Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,569.1379999445053,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- that ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,158641.38499996625,158639.1499999445,158053.368,158055.9849999845,158070.012,158653.114,,13,that
screen,html.Screen,1_1_0_1_14,2021-03-29T12:48:10.143Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,576.4859999623732,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- feeling ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,159231.82499990799,159229.59999996237,158636.562,158641.86499989592,158653.114,159236.274,,14,feeling
screen,html.Screen,1_1_0_1_15,2021-03-29T12:48:10.683Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,533.8210000435065,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- close -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,159772.3649998661,159770.0950000435,159219.799,159232.30999987572,159236.274,159786.336,,15,close
screen,html.Screen,1_1_0_1_16,2021-03-29T12:48:11.124Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,424.17399988800753,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- to ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,160212.74999994785,160210.50999988802,159769.689,159772.85000006668,159786.336,160219.454,,16,to
screen,html.Screen,1_1_0_1_17,2021-03-29T12:48:11.599Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,466.55100002503605,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- your<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,160688.2050000131,160686.00500002503,160202.902,160213.2200000342,160219.454,160702.815,,17,your
screen,html.Screen,1_1_0_1_18,2021-03-29T12:48:12.299Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,683.5749998832471,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>romantic ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,161388.52499984205,161386.38999988325,160686.178,160688.67499986663,160702.815,161402.597,,18,romantic
screen,html.Screen,1_1_0_1_19,2021-03-29T12:48:13.106Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,790.4979999950738,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- partner -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,162195.29499998316,162193.09499999508,161385.864,161389.00500000454,161402.597,162202.333,,19,partner
screen,html.Screen,1_1_0_1_20,2021-03-29T12:48:13.606Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,490.6420000126527,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- is ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,162695.16999996267,162692.97500001267,162185.829,162195.75499999337,162202.333,162702.259,,20,is
