"subject","which_list","song_rating","snippet_file","familiarity","preference","pleasantness","offensiveness","distraction","artist_name","song_name"
22,"B",5,"static/B2_instrumental.mp3",2,1,1,1,3,"",NA
22,"B",6,"static/B3_instrumental.mp3",3,6,6,1,7,"",NA
23,"B",1,"static/A1_lyrical.mp3",8,5,6,8,8,"Eminem",""
23,"B",2,"static/A2_lyrical.mp3",10,10,8,5,5,"",""
23,"B",3,"static/A3_lyrical.mp3",7,8,7,3,5,"Rihanna",""
23,"B",4,"static/B1_instrumental.mp3",10,7,6,4,5,"Katy Perry",""
23,"B",5,"static/B2_instrumental.mp3",10,10,6,7,8,"Iggy azalea","fancy"
23,"B",6,"static/B3_instrumental.mp3",10,10,10,3,5,"Outkast","ms. jackson"
24,"B",1,"static/A1_lyrical.mp3",10,10,10,5,10,"eminem","who I am"
24,"B",2,"static/A2_lyrical.mp3",8,10,10,1,9,"post malone","wow"
24,"B",3,"static/A3_lyrical.mp3",10,10,10,1,10,"nicki minaj & rihanna","fly"
24,"B",4,"static/B1_instrumental.mp3",10,3,1,1,5,"jessie J","price tag"
24,"B",5,"static/B2_instrumental.mp3",10,7,7,2,9,"Iggy azalea","fancy"
24,"B",6,"static/B3_instrumental.mp3",1,1,5,1,1,"",""
25,"B",1,"static/A1_lyrical.mp3",3,2,2,1,7,"eminem",""
25,"B",2,"static/A2_lyrical.mp3",10,9,10,1,9,"post malone","wow"
25,"B",3,"static/A3_lyrical.mp3",8,6,7,1,7,"rhianna","fly"
25,"B",4,"static/B1_instrumental.mp3",9,5,4,1,4,"",""
25,"B",5,"static/B2_instrumental.mp3",9,6,4,1,5,"Iggy Azelea ","fancy"
25,"B",6,"static/B3_instrumental.mp3",9,9,10,1,8,"","mrs jackson"
26,"B",1,"static/A1_lyrical.mp3",10,7,7,1,2,"Eminem","The Way I Am"
26,"B",2,"static/A2_lyrical.mp3",10,9,9,1,2,"Post Malone","WOW"
26,"B",3,"static/A3_lyrical.mp3",2,5,4,4,4,"",""
26,"B",4,"static/B1_instrumental.mp3",10,7,8,1,2,"Jessie J","Price Tag"
26,"B",5,"static/B2_instrumental.mp3",10,7,6,1,3,"Charlie XCX","Fancy"
26,"B",6,"static/B3_instrumental.mp3",10,9,9,1,3,"OutKast","Sorry Ms.Jackson"
27,"B",1,"static/A1_lyrical.mp3",7,9,9,3,10,"Eminem",""
27,"B",2,"static/A2_lyrical.mp3",10,7,8,3,6,"Post Malone","Wow"
27,"B",3,"static/A3_lyrical.mp3",10,6,6,1,8,"",""
27,"B",4,"static/B1_instrumental.mp3",10,4,5,1,4,"Jessie J","Price Tag"
27,"B",5,"static/B2_instrumental.mp3",10,8,8,2,8,"Iggy Azalea","Fancy"
27,"B",6,"static/B3_instrumental.mp3",7,6,7,2,7,"",""
28,"B",1,"static/A1_lyrical.mp3",10,7,NA,1,7,"eminem",""
28,"B",2,"static/A2_lyrical.mp3",10,10,10,1,3,"post malone","wow"
28,"B",3,"static/A3_lyrical.mp3",10,10,10,1,2,"rihanna","fly"
28,"B",4,"static/B1_instrumental.mp3",10,10,10,1,3,"jessie j","price tag"
28,"B",5,"static/B2_instrumental.mp3",10,6,7,1,9,"iggy azalea","fancy"
28,"B",6,"static/B3_instrumental.mp3",10,10,10,1,8,"outkast","ms jackson"
29,"B",1,"static/A1_lyrical.mp3",7,5,3,1,9,"",""
29,"B",2,"static/A2_lyrical.mp3",4,5,5,1,7,"",""
29,"B",3,"static/A3_lyrical.mp3",5,3,3,1,7,"",""
29,"B",4,"static/B1_instrumental.mp3",10,6,9,1,5,"Jessie J","Price Tag"
29,"B",5,"static/B2_instrumental.mp3",9,2,2,1,5,"Iggy Azalea","Fancy"
29,"B",6,"static/B3_instrumental.mp3",2,1,5,1,2,"",""
30,"B",1,"static/A1_lyrical.mp3",10,8,8,3,10,"Eminem","The way i am"
30,"B",2,"static/A2_lyrical.mp3",10,9,8,2,6,"Post Malone","wow"
30,"B",3,"static/A3_lyrical.mp3",10,7,7,3,6,"Rihanna & Nicki","Fly"
30,"B",4,"static/B1_instrumental.mp3",10,3,5,1,8,"Jessie J","Price tag"
30,"B",5,"static/B2_instrumental.mp3",10,9,9,7,9,"Iggy Azelea","Fancy"
30,"B",6,"static/B3_instrumental.mp3",10,10,10,4,10,"Outkast","Ms.Jackson"
31,"B",1,"static/A1_lyrical.mp3",10,8,8,1,4,"Eminem","the way I am"
31,"B",2,"static/A2_lyrical.mp3",7,7,7,1,2,"",""
31,"B",3,"static/A3_lyrical.mp3",6,5,5,1,1,"",""
31,"B",4,"static/B1_instrumental.mp3",10,9,9,1,2,"Jessie J","price tag"
31,"B",5,"static/B2_instrumental.mp3",10,8,8,1,2,"Iggy Azalea","Fancy"
31,"B",6,"static/B3_instrumental.mp3",10,9,9,1,3,"Outkast","ms Jackson "
32,"B",1,"static/A1_lyrical.mp3",6,9,5,1,9,"Eminem",""
32,"B",2,"static/A2_lyrical.mp3",3,8,8,1,9,"",""
32,"B",3,"static/A3_lyrical.mp3",10,9,9,1,7,"nicki minaj","fly"
32,"B",4,"static/B1_instrumental.mp3",10,8,8,1,2,"jessie j","price tag"
32,"B",5,"static/B2_instrumental.mp3",10,9,7,1,6,"",""
32,"B",6,"static/B3_instrumental.mp3",1,4,5,1,1,"",""
33,"B",1,"static/A1_lyrical.mp3",6,4,2,5,6,"Eminem",""
33,"B",2,"static/A2_lyrical.mp3",10,8,8,5,6,"Post malone ","Wow"
33,"B",3,"static/A3_lyrical.mp3",10,5,5,2,5,"Nicki Minaj","Fly"
33,"B",4,"static/B1_instrumental.mp3",10,9,8,1,4,"Jessie J","Price Tag"
33,"B",5,"static/B2_instrumental.mp3",10,5,5,3,4,"",""
33,"B",6,"static/B3_instrumental.mp3",10,9,9,3,4,"","Miss Jackson"
34,"B",1,"static/A1_lyrical.mp3",8,9,8,7,10,"Eminem",NA
34,"B",2,"static/A2_lyrical.mp3",10,10,10,9,NA,"post malone",NA
34,"B",3,"static/A3_lyrical.mp3",9,9,9,9,8,"",NA
34,"B",4,"static/B1_instrumental.mp3",10,9,9,4,7,"Jessie J",NA
34,"B",5,"static/B2_instrumental.mp3",7,8,8,4,7,"iggy azalea",NA
34,"B",6,"static/B3_instrumental.mp3",6,8,8,4,9,"",NA
35,"C",1,"static/A1_lyrical.mp3",2,4,4,1,1,"Eminem",""
35,"C",2,"static/A2_lyrical.mp3",10,7,7,1,6,"post malone","wow"
35,"C",3,"static/A3_lyrical.mp3",7,4,3,1,2,"Nicki Minaj & Rihanna","fly"
35,"C",4,"static/B1_instrumental.mp3",10,8,8,1,NA,"Jessie J","Price Tag"
35,"C",5,"static/B2_instrumental.mp3",10,9,8,1,5,"iggy azalea","fancy"
35,"C",6,"static/B3_instrumental.mp3",8,8,8,1,4,"Outkast","Ms.Jackson"
36,"C",1,"static/A1_lyrical.mp3",8,9,8,1,8,"Eminem",""
36,"C",2,"static/A2_lyrical.mp3",10,10,10,1,8,"Post Malone","Wow"
36,"C",3,"static/A3_lyrical.mp3",8,7,8,1,6,"Rihanna",""
36,"C",4,"static/B1_instrumental.mp3",8,8,8,1,4,"Jessie J","Price Tag"
36,"C",5,"static/B2_instrumental.mp3",8,8,8,1,3,"Iggy Isela ","Fancy"
36,"C",6,"static/B3_instrumental.mp3",8,8,8,1,6,"",""
37,"C",1,"static/A1_lyrical.mp3",5,5,6,4,10,"",""
37,"C",2,"static/A2_lyrical.mp3",10,9,9,3,10,"post malone","wow"
