sub	item	cond	sound	block	trialtype	ans1	corr_ans1	acc1	ans2	corr_ans2	acc2	Q1time	Q2time
8	11	7	Mandarin	difficult	Exp	1	2	0	1	2	0	0.864961046	0.933340136
8	12	7	Mandarin	difficult	Exp	1	4	0	1	2	0	0.500194854	0.783927468
8	10	7	Mandarin	difficult	Exp	1	3	0	1	2	0	0.700345693	0.549928993
8	25	1	Silence	easy	Prac	1	2	0	1	1	1	0.73340453	0.367177743
8	26	1	Silence	easy	Prac	1	1	1	1	2	0	0.566793724	0.500353493
8	13	4	English	easy	Exp	1	1	1	1	2	0	0.566849146	0.699960384
8	15	4	English	easy	Exp	1	2	0	1	1	1	0.700168873	0.517167201
8	14	4	English	easy	Exp	1	2	0	1	2	0	2.350036493	0.434177464
8	16	1	Silence	easy	Exp	1	2	0	1	1	1	2.348194988	0.400626288
8	18	1	Silence	easy	Exp	1	2	0	1	1	1	0.550269437	0.800713026
8	17	1	Silence	easy	Exp	1	1	1	1	2	0	0.650137395	0.616598241
8	21	2	Noise	easy	Exp	1	1	1	1	2	0	0.516700667	3.483562363
8	19	2	Noise	easy	Exp	1	2	0	1	1	1	0.533418488	0.833721428
8	20	2	Noise	easy	Exp	1	2	0	1	2	0	0.966384898	0.6674669
8	23	3	Mandarin	easy	Exp	1	1	1	1	2	0	0.800120988	1.016685565
8	22	3	Mandarin	easy	Exp	1	1	1	1	2	0	1.116803651	0.733182553
8	24	3	Mandarin	easy	Exp	1	2	0	1	1	1	1.550199355	0.716403153
