"subject","list","music","song_number","music_set","snippet_file","Pool","familiarity","preference","pleasantness","offensiveness","distraction","actual_artist","actual_song_name","artist_name","song_name"
17,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,5,5,3,4,"Sa-Roc","Starseed",NA,NA
17,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,1,2,5,8,"Johnie Bee ft. Rasco","In My Prime",NA,NA
17,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,1,2,2,6,"Evidence","Throw It All Away",NA,NA
17,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,4,6,1,3,"The Four Owls","Old Earth",NA,NA
17,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,4,2,1,4,"Aesop Rock","Molecules",NA,NA
17,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,7,7,1,3,"Atmosphere","Just for show",NA,NA
18,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",2,2,1,4,8,"Sa-Roc","Starseed",NA,NA
18,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",4,5,1,2,4,"Johnie Bee ft. Rasco","In My Prime",NA,NA
18,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",2,4,5,1,3,"Evidence","Throw It All Away",NA,NA
18,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,6,5,1,2,"The Four Owls","Old Earth",NA,NA
18,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",3,2,3,1,4,"Aesop Rock","Molecules",NA,NA
18,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",3,4,4,1,3,"Atmosphere","Just for show",NA,NA
19,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",4,6,7,3,5,"Sa-Roc","Starseed",NA,""
19,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",3,4,4,2,4,"Johnie Bee ft. Rasco","In My Prime",NA,""
19,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",8,5,5,1,4,"Evidence","Throw It All Away",NA,"Throw it all away"
19,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",5,7,7,1,2,"The Four Owls","Old Earth",NA,""
19,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",2,2,1,1,7,"Aesop Rock","Molecules",NA,""
19,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",3,3,2,1,4,"Atmosphere","Just for show",NA,""
20,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",6,10,8,1,8,"Sa-Roc","Starseed",NA,NA
20,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",5,10,10,1,6,"Johnie Bee ft. Rasco","In My Prime",NA,NA
20,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",5,10,10,1,5,"Evidence","Throw It All Away",NA,NA
20,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",10,10,10,1,2,"The Four Owls","Old Earth",NA,NA
20,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,10,10,1,1,"Aesop Rock","Molecules",NA,NA
20,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",10,10,10,1,1,"Atmosphere","Just for show",NA,NA
21,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",10,4,4,2,10,"Sa-Roc","Starseed",NA,NA
21,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,6,4,5,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
21,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,6,5,4,8,"Evidence","Throw It All Away",NA,NA
21,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,8,8,1,2,"The Four Owls","Old Earth",NA,NA
21,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,3,2,1,1,"Aesop Rock","Molecules",NA,NA
21,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,3,3,2,3,"Atmosphere","Just for show",NA,NA
22,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,10,10,NA,10,"Sa-Roc","Starseed",NA,NA
22,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,2,2,2,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
22,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,3,3,1,10,"Evidence","Throw It All Away",NA,NA
22,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,8,10,1,4,"The Four Owls","Old Earth",NA,NA
22,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,3,3,1,10,"Aesop Rock","Molecules",NA,NA
22,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,4,6,1,5,"Atmosphere","Just for show",NA,NA
23,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",4,4,3,1,6,"Sa-Roc","Starseed",NA,NA
23,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",3,3,2,1,6,"Johnie Bee ft. Rasco","In My Prime",NA,NA
23,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",4,2,NA,1,5,"Evidence","Throw It All Away",NA,NA
23,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",8,5,7,1,7,"The Four Owls","Old Earth",NA,NA
23,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",3,3,3,1,6,"Aesop Rock","Molecules",NA,NA
23,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",5,5,6,1,6,"Atmosphere","Just for show",NA,NA
24,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",8,6,6,3,7,"Sa-Roc","Starseed",NA,NA
24,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",7,5,5,4,7,"Johnie Bee ft. Rasco","In My Prime",NA,NA
24,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",4,5,5,3,7,"Evidence","Throw It All Away",NA,NA
24,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",8,7,7,3,5,"The Four Owls","Old Earth",NA,NA
24,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,5,5,3,7,"Aesop Rock","Molecules",NA,NA
24,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,4,4,3,7,"Atmosphere","Just for show",NA,NA
25,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,7,4,5,9,"Sa-Roc","Starseed",NA,NA
25,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,7,4,6,8,"Johnie Bee ft. Rasco","In My Prime",NA,NA
25,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,5,5,4,6,"Evidence","Throw It All Away",NA,NA
25,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,7,7,1,5,"The Four Owls","Old Earth",NA,NA
25,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,2,2,1,7,"Aesop Rock","Molecules",NA,NA
25,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,3,3,1,5,"Atmosphere","Just for show",NA,NA
26,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,6,7,2,3,"Sa-Roc","Starseed","Nicki Minaj",NA
26,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,8,7,2,4,"Johnie Bee ft. Rasco","In My Prime","",NA
26,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",2,8,7,1,2,"Evidence","Throw It All Away","Andre 3000",NA
26,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,7,8,1,1,"The Four Owls","Old Earth","",NA
26,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,3,5,1,3,"Aesop Rock","Molecules","",NA
26,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,7,6,1,NA,"Atmosphere","Just for show","",NA
27,"B","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,7,8,1,8,"Sa-Roc","Starseed",NA,NA
27,"B","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,4,5,1,4,"Johnie Bee ft. Rasco","In My Prime",NA,NA
27,"B","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,2,2,1,5,"Evidence","Throw It All Away",NA,NA
27,"B","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,2,5,1,4,"The Four Owls","Old Earth",NA,NA
27,"B","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,2,2,1,2,"Aesop Rock","Molecules",NA,NA
27,"B","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,2,4,1,2,"Atmosphere","Just for show",NA,NA
28,"B","lyrical","1","A","static/A1_lyrical.mp3","Prolific",10,9,2,2,9,"Sa-Roc","Starseed",NA,NA
28,"B","lyrical","2","A","static/A2_lyrical.mp3","Prolific",6,3,2,2,2,"Johnie Bee ft. Rasco","In My Prime",NA,NA
28,"B","lyrical","3","A","static/A3_lyrical.mp3","Prolific",5,5,4,4,4,"Evidence","Throw It All Away",NA,NA
28,"B","instrumental","1","B","static/B1_instrumental.mp3","Prolific",7,4,5,2,4,"The Four Owls","Old Earth",NA,NA
28,"B","instrumental","2","B","static/B2_instrumental.mp3","Prolific",3,4,4,3,3,"Aesop Rock","Molecules",NA,NA
28,"B","instrumental","3","B","static/B3_instrumental.mp3","Prolific",5,4,6,4,4,"Atmosphere","Just for show",NA,NA
29,"B","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,5,4,1,1,"Sa-Roc","Starseed",NA,NA
29,"B","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,5,4,1,1,"Johnie Bee ft. Rasco","In My Prime",NA,NA
29,"B","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,4,3,1,1,"Evidence","Throw It All Away",NA,NA
29,"B","instrumental","1","B","static/B1_instrumental.mp3","Prolific",5,3,3,1,1,"The Four Owls","Old Earth",NA,NA
29,"B","instrumental","2","B","static/B2_instrumental.mp3","Prolific",3,5,4,1,1,"Aesop Rock","Molecules",NA,NA
29,"B","instrumental","3","B","static/B3_instrumental.mp3","Prolific",3,7,6,1,1,"Atmosphere","Just for show",NA,NA
30,"B","lyrical","1","A","static/A1_lyrical.mp3","Prolific",8,2,2,7,10,"Sa-Roc","Starseed",NA,NA
30,"B","lyrical","2","A","static/A2_lyrical.mp3","Prolific",2,3,3,8,9,"Johnie Bee ft. Rasco","In My Prime",NA,NA
30,"B","lyrical","3","A","static/A3_lyrical.mp3","Prolific",3,5,5,4,7,"Evidence","Throw It All Away",NA,NA
30,"B","instrumental","1","B","static/B1_instrumental.mp3","Prolific",7,6,5,2,6,"The Four Owls","Old Earth",NA,NA
30,"B","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,1,2,1,6,"Aesop Rock","Molecules",NA,NA
30,"B","instrumental","3","B","static/B3_instrumental.mp3","Prolific",2,4,3,1,5,"Atmosphere","Just for show",NA,NA
31,"B","lyrical","1","A","static/A1_lyrical.mp3","Prolific",10,7,8,5,4,"Sa-Roc","Starseed",NA,NA
31,"B","lyrical","2","A","static/A2_lyrical.mp3","Prolific",6,4,4,6,7,"Johnie Bee ft. Rasco","In My Prime",NA,NA
31,"B","lyrical","3","A","static/A3_lyrical.mp3","Prolific",2,4,4,2,6,"Evidence","Throw It All Away",NA,NA
31,"B","instrumental","1","B","static/B1_instrumental.mp3","Prolific",10,2,2,1,4,"The Four Owls","Old Earth",NA,NA
31,"B","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,1,1,1,6,"Aesop Rock","Molecules",NA,NA
31,"B","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,3,3,1,6,"Atmosphere","Just for show",NA,NA
32,"B","lyrical","1","A","static/A1_lyrical.mp3","Prolific",7,8,8,NA,6,"Sa-Roc","Starseed",NA,NA
32,"B","lyrical","2","A","static/A2_lyrical.mp3","Prolific",2,7,7,1,6,"Johnie Bee ft. Rasco","In My Prime",NA,NA
32,"B","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,7,7,1,6,"Evidence","Throw It All Away",NA,NA
32,"B","instrumental","1","B","static/B1_instrumental.mp3","Prolific",4,7,7,1,4,"The Four Owls","Old Earth",NA,NA
32,"B","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,8,8,1,6,"Aesop Rock","Molecules",NA,NA
32,"B","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,8,8,1,6,"Atmosphere","Just for show",NA,NA
33,"B","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,2,2,7,10,"Sa-Roc","Starseed",NA,NA
33,"B","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,1,1,10,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
33,"B","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,1,1,6,6,"Evidence","Throw It All Away",NA,NA
33,"B","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,7,7,1,1,"The Four Owls","Old Earth",NA,NA
33,"B","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,1,1,1,6,"Aesop Rock","Molecules",NA,NA
33,"B","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,6,7,1,7,"Atmosphere","Just for show",NA,NA
34,"B","lyrical","1","A","static/A1_lyrical.mp3","Prolific",2,8,8,1,9,"Sa-Roc","Starseed","?","?"
34,"B","lyrical","2","A","static/A2_lyrical.mp3","Prolific",4,9,8,2,10,"Johnie Bee ft. Rasco","In My Prime","?","?"
34,"B","lyrical","3","A","static/A3_lyrical.mp3","Prolific",2,5,6,2,9,"Evidence","Throw It All Away","?","?"
34,"B","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,7,4,1,8,"The Four Owls","Old Earth","?","?"
34,"B","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,5,7,1,7,"Aesop Rock","Molecules","?","?"
34,"B","instrumental","3","B","static/B3_instrumental.mp3","Prolific",3,6,8,1,7,"Atmosphere","Just for show","?","?"
35,"B","lyrical","1","A","static/A1_lyrical.mp3","Prolific",2,2,2,1,10,"Sa-Roc","Starseed",NA,NA
35,"B","lyrical","2","A","static/A2_lyrical.mp3","Prolific",2,2,2,1,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
35,"B","lyrical","3","A","static/A3_lyrical.mp3","Prolific",2,2,2,1,10,"Evidence","Throw It All Away",NA,NA
35,"B","instrumental","1","B","static/B1_instrumental.mp3","Prolific",7,8,8,1,7,"The Four Owls","Old Earth",NA,NA
35,"B","instrumental","2","B","static/B2_instrumental.mp3","Prolific",4,2,2,1,9,"Aesop Rock","Molecules",NA,NA
35,"B","instrumental","3","B","static/B3_instrumental.mp3","Prolific",2,2,2,1,10,"Atmosphere","Just for show",NA,NA
36,"B","lyrical","1","A","static/A1_lyrical.mp3","Prolific",10,4,5,2,10,"Sa-Roc","Starseed",NA,NA
36,"B","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,1,1,3,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
36,"B","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,1,1,1,7,"Evidence","Throw It All Away",NA,NA
