subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song
28;B;instrumental;2;B;static/B2_instrumental.mp3;Prolific;3;4;4;3;3;Aesop Rock;NA;0;Molecules;NA;0
28;B;instrumental;3;B;static/B3_instrumental.mp3;Prolific;5;4;6;4;4;Atmosphere;NA;0;Just for show;NA;0
29;B;lyrical;1;A;static/A1_lyrical.mp3;Prolific;1;5;4;1;1;Sa-Roc;NA;0;Starseed;NA;0
29;B;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;5;4;1;1;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
29;B;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;4;3;1;1;Evidence;NA;0;Throw It All Away;NA;0
29;B;instrumental;1;B;static/B1_instrumental.mp3;Prolific;5;3;3;1;1;The Four Owls;NA;0;Old Earth;NA;0
29;B;instrumental;2;B;static/B2_instrumental.mp3;Prolific;3;5;4;1;1;Aesop Rock;NA;0;Molecules;NA;0
29;B;instrumental;3;B;static/B3_instrumental.mp3;Prolific;3;7;6;1;1;Atmosphere;NA;0;Just for show;NA;0
30;B;lyrical;1;A;static/A1_lyrical.mp3;Prolific;8;2;2;7;10;Sa-Roc;NA;0;Starseed;NA;0
30;B;lyrical;2;A;static/A2_lyrical.mp3;Prolific;2;3;3;8;9;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
30;B;lyrical;3;A;static/A3_lyrical.mp3;Prolific;3;5;5;4;7;Evidence;NA;0;Throw It All Away;NA;0
30;B;instrumental;1;B;static/B1_instrumental.mp3;Prolific;7;6;5;2;6;The Four Owls;NA;0;Old Earth;NA;0
30;B;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;1;2;1;6;Aesop Rock;NA;0;Molecules;NA;0
30;B;instrumental;3;B;static/B3_instrumental.mp3;Prolific;2;4;3;1;5;Atmosphere;NA;0;Just for show;NA;0
31;B;lyrical;1;A;static/A1_lyrical.mp3;Prolific;10;7;8;5;4;Sa-Roc;NA;0;Starseed;NA;0
31;B;lyrical;2;A;static/A2_lyrical.mp3;Prolific;6;4;4;6;7;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
31;B;lyrical;3;A;static/A3_lyrical.mp3;Prolific;2;4;4;2;6;Evidence;NA;0;Throw It All Away;NA;0
31;B;instrumental;1;B;static/B1_instrumental.mp3;Prolific;10;2;2;1;4;The Four Owls;NA;0;Old Earth;NA;0
31;B;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;1;1;1;6;Aesop Rock;NA;0;Molecules;NA;0
31;B;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;3;3;1;6;Atmosphere;NA;0;Just for show;NA;0
32;B;lyrical;1;A;static/A1_lyrical.mp3;Prolific;7;8;8;NA;6;Sa-Roc;NA;0;Starseed;NA;0
32;B;lyrical;2;A;static/A2_lyrical.mp3;Prolific;2;7;7;1;6;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
