"subject","item","Provo_ID","list","accuracy","duration","sound","ended_on","response","correctResponse","Pool","item_quest"
6,15,NA,"A",1,2217.66299999703,"instrumental","response","FALSE","FALSE","University pool",1
6,15,NA,"A",1,1895.48899999994,"instrumental","response","TRUE","TRUE","University pool",2
7,7,NA,"A",1,2788.49999999403,"silence","response","FALSE","FALSE","University pool",1
7,7,NA,"A",1,4547.18599999105,"silence","response","TRUE","TRUE","University pool",2
7,10,NA,"A",0,7103.90700000001,"silence","response","FALSE","TRUE","University pool",1
7,10,NA,"A",1,7057.23599999404,"silence","response","TRUE","TRUE","University pool",2
7,13,NA,"A",0,10468.808999994,"silence","response","TRUE","FALSE","University pool",1
7,13,NA,"A",0,6038.31699999701,"silence","response","FALSE","TRUE","University pool",2
7,1,NA,"A",1,2934.69099999999,"silence","response","TRUE","TRUE","University pool",1
7,1,NA,"A",1,2719.84699999104,"silence","response","FALSE","FALSE","University pool",2
7,4,NA,"A",1,6665.44399999699,"silence","response","FALSE","FALSE","University pool",1
7,4,NA,"A",0,5180.78800000297,"silence","response","FALSE","TRUE","University pool",2
7,2,NA,"A",1,4168.11600000295,"lyrical","response","FALSE","FALSE","University pool",1
7,2,NA,"A",0,2807.309999994,"lyrical","response","TRUE","FALSE","University pool",2
7,8,NA,"A",1,3945.7709999911,"lyrical","response","FALSE","FALSE","University pool",1
7,8,NA,"A",1,3634.73299999698,"lyrical","response","TRUE","TRUE","University pool",2
7,11,NA,"A",1,5512.52399999998,"lyrical","response","FALSE","FALSE","University pool",1
7,11,NA,"A",1,3202.19799999706,"lyrical","response","FALSE","FALSE","University pool",2
7,14,NA,"A",1,2536.75199999404,"lyrical","response","FALSE","FALSE","University pool",1
7,14,NA,"A",1,2625.90599999996,"lyrical","response","FALSE","FALSE","University pool",2
7,5,NA,"A",1,2934.09100000293,"lyrical","response","TRUE","TRUE","University pool",1
7,5,NA,"A",1,7614.84699999704,"lyrical","response","TRUE","TRUE","University pool",2
7,9,NA,"A",1,2310.44499999704,"instrumental","response","FALSE","FALSE","University pool",1
7,9,NA,"A",1,2913.10200000298,"instrumental","response","FALSE","FALSE","University pool",2
7,12,NA,"A",1,2599.05500000296,"instrumental","response","FALSE","FALSE","University pool",1
7,12,NA,"A",1,1942.32099999697,"instrumental","response","TRUE","TRUE","University pool",2
7,6,NA,"A",1,3644.87899999111,"instrumental","response","TRUE","TRUE","University pool",1
