"subject","item","Provo_ID","list","word","word_ID","ended_on","duration","sound","Pool","log_duration"
2,7,15,"A",50,"different","response",430.873999994365,"silence","University pool",6.06581570396254
2,7,15,"A",51,"grand","response",316.927000004565,"silence","University pool",5.7586714634606
2,7,15,"A",52,"jury.","response",511.540999973426,"silence","University pool",6.23742773853012
2,1,2,"A",1,"days","response",552.295999980823,"silence","University pool",6.31408413440549
2,1,2,"A",2,"later,","response",353.580999983998,"silence","University pool",5.86811259624289
2,1,2,"A",3,"the","response",698.95400001941,"silence","University pool",6.54958493179855
2,1,2,"A",4,"British","response",502.219999984256,"silence","University pool",6.21903827067016
2,1,2,"A",5,"astronomer","response",345.575000019337,"silence","University pool",5.84520969640638
2,1,2,"A",6,"Richard","response",738.917000019865,"silence","University pool",6.60518560072965
2,1,2,"A",7,"Carrington","response",548.956000003964,"silence","University pool",6.30801829258542
2,1,2,"A",8,"was","response",606.28900001687,"silence","University pool",6.40735677010735
2,1,2,"A",9,"observing","response",325.733000011416,"silence","University pool",5.78607802741803
2,1,2,"A",10,"the","response",512.22100001428,"silence","University pool",6.23875617256237
2,1,2,"A",11,"interesting","response",578.860000017739,"silence","University pool",6.36106065216588
2,1,2,"A",12,"sunspot","response",354.901999977767,"silence","University pool",5.87184169496418
2,1,2,"A",13,"group","response",404.22099997534,"silence","University pool",6.00196175803691
2,1,2,"A",14,"through","response",475.617000009806,"silence","University pool",6.16461290852139
2,1,2,"A",15,"his","response",416.196999995329,"silence","University pool",6.03115870584929
2,1,2,"A",16,"telescope","response",398.981999979413,"silence","University pool",5.9889163030387
2,1,2,"A",17,"when","response",342.186000028043,"silence","University pool",5.83535444895562
2,1,2,"A",18,"he","response",384.250000022759,"silence","University pool",5.95129338247794
2,1,2,"A",19,"saw","response",360.299999978393,"silence","University pool",5.88693701769408
2,1,2,"A",20,"what","response",265.56300002028,"silence","University pool",5.58185210074558
2,1,2,"A",21,"he","response",350.234999994573,"silence","University pool",5.85860435773207
2,1,2,"A",22,"described","response",447.858000009262,"silence","University pool",6.10447621790616
2,1,2,"A",23,"as","response",308.935999996844,"silence","University pool",5.73313413569417
2,1,2,"A",24,"""two","response",320.155999982962,"silence","University pool",5.76880837695104
2,1,2,"A",25,"patches","response",722.898999994155,"silence","University pool",6.58326951668001
2,1,2,"A",26,"of","response",373.651999989641,"silence","University pool",5.92332488293695
2,1,2,"A",27,"intensely","response",558.300000026822,"silence","University pool",6.32489645236436
2,1,2,"A",28,"bright","response",799.563999987731,"silence","University pool",6.6840665790861
2,1,2,"A",29,"and","response",375.098999980255,"silence","University pool",5.9271899910759
2,1,2,"A",30,"white","response",511.554999987537,"silence","University pool",6.23745510646844
2,1,2,"A",31,"light""","response",482.293999987189,"silence","University pool",6.17855388658118
2,1,2,"A",32,"over","response",750.227999989176,"silence","University pool",6.62037716031729
2,1,2,"A",33,"the","response",463.61399998155,"silence","University pool",6.13905230941677
2,1,2,"A",34,"sunspots.","response",1084.25000000949,"silence","University pool",6.98864378272423
2,1,2,"A",35,"He","response",808.258999995945,"silence","University pool",6.6948825517071
2,1,2,"A",36,"jotted","response",463.540000015812,"silence","University pool",6.13889268120852
2,1,2,"A",37,"a","response",316.280000010272,"silence","University pool",5.75662789723521
2,1,2,"A",38,"note","response",222.845000005385,"silence","University pool",5.40647646254847
2,1,2,"A",39,"in","response",501.614000026952,"silence","University pool",6.21783089966875
2,1,2,"A",40,"his","response",320.981000007945,"silence","University pool",5.77138193137182
2,1,2,"A",41,"painstaking","response",323.443999980111,"silence","University pool",5.77902599224872
2,1,2,"A",42,"record.","response",1590.47799997986,"silence","University pool",7.37178987895261
2,1,2,"A",43,"That","response",557.569000012998,"silence","University pool",6.32358626251525
2,1,2,"A",44,"night","response",471.070999992196,"silence","University pool",6.15500882573904
