"","subject","item","sound","reading_time_minutes","number_of_words","wpm","Experiment"
"509",34,6,"silence",0.315882533334725,52,164.618155524599,"Experiment 1a"
"510",35,4,"instrumental",0.448092033335268,53,118.27927313393,"Experiment 1a"
"511",35,10,"instrumental",0.390191150009165,49,125.5794755951,"Experiment 1a"
"512",35,13,"instrumental",0.406470083338068,53,130.390900025769,"Experiment 1a"
"513",35,1,"instrumental",0.479342633348049,58,120.999043199828,"Experiment 1a"
"514",35,7,"instrumental",0.389770666681987,52,133.411784018182,"Experiment 1a"
"515",35,2,"silence",0.332048000026537,57,171.661928382176,"Experiment 1a"
"516",35,11,"silence",0.360355616678794,53,147.076936079068,"Experiment 1a"
"517",35,5,"silence",0.365500750003235,52,142.270569894972,"Experiment 1a"
"518",35,14,"silence",0.337401416678098,50,148.191434678246,"Experiment 1a"
"519",35,8,"silence",0.325907400017144,50,153.417811308886,"Experiment 1a"
"520",35,12,"lyrical",0.397018000019899,61,153.645426648018,"Experiment 1a"
"521",35,3,"lyrical",0.417776466674235,56,134.042973855841,"Experiment 1a"
"522",35,6,"lyrical",0.351868283364043,52,147.782572225189,"Experiment 1a"
"523",35,9,"lyrical",0.345772733328887,45,130.14328679641,"Experiment 1a"
"524",35,15,"lyrical",0.348970116673227,45,128.950869572989,"Experiment 1a"
"525",36,7,"instrumental",0.377229566666484,52,137.847095230407,"Experiment 1a"
"526",36,1,"instrumental",0.314455516666504,58,184.445802111693,"Experiment 1a"
"527",36,13,"instrumental",0.31651039999982,53,167.451053741141,"Experiment 1a"
"528",36,10,"instrumental",0.228028533333177,49,214.885388612333,"Experiment 1a"
"529",36,4,"instrumental",0.258710166666528,53,204.862455476348,"Experiment 1a"
"530",36,8,"silence",0.245491166666513,50,203.673316147959,"Experiment 1a"
"531",36,14,"silence",0.258150749999848,50,193.685278853652,"Experiment 1a"
"532",36,2,"silence",0.255496333333162,57,223.095178143606,"Experiment 1a"
"533",36,5,"silence",0.242072399999881,52,214.811767058225,"Experiment 1a"
"534",36,11,"silence",0.217772516666545,53,243.373226389049,"Experiment 1a"
"535",36,3,"lyrical",0.302300433333177,56,185.246178387975,"Experiment 1a"
"536",36,6,"lyrical",0.23835074999988,52,218.165875291041,"Experiment 1a"
"537",36,15,"lyrical",0.227357883333225,45,197.925839826923,"Experiment 1a"
"538",36,12,"lyrical",0.279862999999841,60,214.390612549833,"Experiment 1a"
"539",36,9,"lyrical",0.192795833333209,45,233.40753387666,"Experiment 1a"
"540",37,10,"instrumental",0.449079166665707,49,109.112164707644,"Experiment 1a"
"541",37,13,"instrumental",0.478451766664185,53,110.773966557844,"Experiment 1a"
"542",37,7,"instrumental",0.478745766664299,52,108.617148434156,"Experiment 1a"
"543",37,4,"instrumental",0.497813299991814,53,106.46561672995,"Experiment 1a"
"544",37,1,"instrumental",0.522117033332412,58,111.086205385438,"Experiment 1a"
"545",37,14,"silence",0.38055980000006,50,131.385395935125,"Experiment 1a"
"546",37,8,"silence",0.364229916665329,50,137.275928506286,"Experiment 1a"
"547",37,2,"silence",0.476638766666987,57,119.587419207603,"Experiment 1a"
"548",37,11,"silence",0.396696716670083,53,133.603324083164,"Experiment 1a"
"549",37,5,"silence",0.393902583325218,52,132.012335539996,"Experiment 1a"
